Cause,Effect
BRI3,AMD1
MTDH,AMD1
DDX21,AMD1
HEBP2,NCOA7
ENSG00000112096,NCOA7
KLF6,NCOA7
ARID5B,NCOA7
PSAP,NCOA7
PDLIM1,NCOA7
MDK,NCOA7
EZR,HEBP2
BAG1,HEBP2
ZFAND5,HEBP2
ANXA1,HEBP2
HEBP2,PSAP
HEBP2,MDK
DYNLT1,ITGB1
DYNLT1,NUCB2
EZR,TAX1BP1
EZR,SARAF
EZR,ANXA1
EZR,SNHG7
EZR,TUBB4B
VIM,EZR
NAMPT,ENSG00000112096
NFIB,ENSG00000112096
ENSG00000112096,ANXA1
KLF6,ENSG00000112096
ENSG00000112096,DDX21
ENSG00000112096,IFITM3
ENSG00000112096,NUCB2
TCP1,DNAJA1
ACTB,CEBPD
ACTB,MTDH
ACTB,VIM
NUCB2,ACTB
GTF2I,AKAP9
ITGB1,GTF2I
SRI,FIS1
TXN,SRI
SRI,TUBB4B
NFIB,AKAP9
NUCB2,AKAP9
FIS1,BRI3
GSN,BRI3
MTDH,FIS1
NAMPT,CEBPD
NAMPT,MTDH
NAMPT,STOM
NAMPT,VIM
NFIB,CALU
HSPA5,CALU
ITGB1,CALU
CALU,DDX21
VIM,MTPN
PSAP,MTPN
NUCB2,SARAF
CEBPD,ZFAND5
KLF6,CEBPD
CEBPD,PSAP
KLF6,MTDH
NFIB,ANXA1
NFIB,TXN
NFIB,KLF6
NFIB,VIM
ITGB1,NFIB
ARID5B,NFIB
CD59,NFIB
NFIB,MDK
ZFAND5,DNAJA1
GSN,DNAJA1
DNAJA1,STOM
DNAJA1,HSPA5
TUBB4B,DNAJA1
ITGB1,DNAJA1
TXN,BAG1
VIM,BAG1
ZFAND5,JMJD1C
NUCB2,ZFAND5
ANXA1,GSN
KLF6,ANXA1
IFITM3,ANXA1
VIM,TXN
TXN,PDLIM1
CD59,TXN
ARID5B,GSN
PSAP,GSN
PDLIM1,GSN
PDLIM1,STOM
PDLIM1,HSPA5
VIM,SNHG7
TUBB4B,PDLIM1
CD59,TUBB4B
MDK,TUBB4B
KLF6,NRARP
MDK,NRARP
ARID5B,KLF6
ITGB1,PSAP
ITGB1,IFITM3
CD59,ITGB1
ARID5B,PDLIM1
NUCB2,DDX21
PDLIM1,PSAP
IFITM3,PDLIM1
CD59,PDLIM1
MDK,PDLIM1
CD59,IFITM3
NUCB2,MDK
ARPC3,SELENOH
SELENOH,DYNLL1
FTH1,AHNAK
FTH1,PTMS
FTH1,SLC38A2
FTH1,BTG1
ARPC3,FTH1
FTH1,NFKBIA
FTH1,KTN1
CD9,AHNAK
GAPDH,AHNAK
PTMS,AHNAK
KRT18,AHNAK
CLIP1,AHNAK
AHNAK,NFKBIA
LGALS3,AHNAK
GSTP1,SLC3A2
TUBA1C,SLC3A2
TPT1,SLC3A2
SLC3A2,PNN
PRDX5,PPP1R14B
PPP1R14B,GAPDH
NR4A1,PPP1R14B
KRT18,PPP1R14B
RAN,PPP1R14B
TPT1,PPP1R14B
PRDX5,GSTP1
TMBIM4,PRDX5
PRDX5,DYNLL1
PRDX5,UBC
PRDX5,TSC22D1
PRDX5,LGALS3
NEAT1,MALAT1
SLC38A2,NEAT1
CLIP1,NEAT1
NEAT1,KTN1
MALAT1,APLP2
TPT1,MALAT1
MALAT1,ARGLU1
PTMS,DRAP1
TUBA1B,DRAP1
RAN,DRAP1
GSTP1,PTMS
KRT18,GSTP1
GSTP1,BTG1
GSTP1,LAMP1
GSTP1,LGALS3
TUBA1B,SPCS2
SPCS2,HSP90B1
GAPDH,TMEM123
NR4A1,TMEM123
TSC22D1,TMEM123
GAPDH,HSPA8
DYNLL1,HSPA8
APLP2,CD9
SLC38A2,APLP2
APLP2,CD63
APLP2,CDK2AP1
APLP2,LAMP1
CD9,TUBA1C
KRT18,CD9
CD9,UBC
LGALS3,CD9
GAPDH,MRPL51
RAN,MRPL51
RAN,GAPDH
GAPDH,TSC22D1
GAPDH,LGALS3
PTMS,TUBA1A
CD63,PTMS
PTMS,NFKBIA
NR4A1,SLC38A2
SLC38A2,BTG1
TUBA1B,TUBA1C
TUBA1B,HMGB1
TUBA1B,TSC22D1
PSMA6,TUBA1B
TUBA1A,DYNLL1
TUBA1A,RSRC2
TUBA1A,CDK2AP1
TPT1,TUBA1A
KRT18,TUBA1C
TUBA1C,DYNLL1
NFKBIA,TUBA1C
NR4A1,UBC
NR4A1,ARGLU1
PSMA6,NR4A1
KRT18,HSP90B1
POMP,KRT18
HMGB1,KRT18
KRT18,ARGLU1
KRT18,NFKBIA
KRT18,LGALS3
CD63,DYNLL1
TPT1,CD63
LGALS3,CD63
DYNLL1,PTGES3
TPT1,PTGES3
POMP,TMBIM4
BTG1,UBC
TSC22D1,BTG1
KTN1,HSP90B1
ARPC3,CLIP1
POMP,ARPC3
HMGB1,ARPC3
TPT1,ARPC3
PSMA6,ARPC3
DYNLL1,PSMB5
DYNLL1,KTN1
PSMA3,DYNLL1
CLIP1,ARGLU1
HMGB1,RSRC2
CDK2AP1,LAMP1
LGALS3,CDK2AP1
POMP,RAN
RAN,NFKBIA
RAN,PSMA3
TPT1,HMGB1
ARGLU1,PNN
ZFP36L1,FOS
ZFP36L1,HSP90AA1
ZFP36L1,DYNC1LI2
ZFP36L1,WSB1
NUFIP2,ZFP36L1
ZFP36L1,VMP1
ZFP36L1,H3-3B
ZFP36L1,CHMP1B
ZFP36L1,JUNB
B2M,NPC2
HERPUD1,NPC2
P4HB,FOS
GADD45B,FOS
JUNB,FOS
FOS,IER2
CALM1,PAPOLA
CALM1,B2M
RPS2,CALM1
MAP1LC3B,CALM1
CALM1,PFN1
CALM1,TPM4
HSP90AA1,RPS2
HSP90AA1,PFN1
HSP90AA1,UBB
DNAJB1,HSP90AA1
ANXA2,B2M
RPS2,B2M
ARL6IP1,B2M
B2M,RBBP6
B2M,ACTG1
MYDGF,B2M
DNAJB1,B2M
RPS27L,DUT
RPS2,DUT
DUT,CHD9
ANXA2,CIB1
GSPT1,ANXA2
ANXA2,HSBP1
ANXA2,ACTG1
GADD45B,ANXA2
RPS27L,RPS2
RPS27L,MT2A
RPS27L,HSBP1
PPIB,RPS2
PPIB,HERPUD1
PPIB,P4HB
PPIB,LMAN1
MYDGF,PPIB
PPIB,CALR
RPS2,RAB11A
HSBP1,RAB11A
CIB1,HSBP1
CIB1,ANKRD11
CIB1,NDUFV2
TPM4,CIB1
UBB,RPS2
RPS2,WSB1
RPS2,PRKAR1A
RPS2,NDUFV2
RPS2,TPM4
NUFIP2,GSPT1
ARL6IP1,HERPUD1
DNAJB1,ARL6IP1
H3-3B,RBBP6
RBBP6,TPM4
HERPUD1,VPS35
EIF5A,CHD9
NDUFV2,CHD9
ANKRD11,MT2A
PFN1,MT2A
CHMP1B,MT2A
JUNB,MT2A
H3-3B,HERPUD1
HERPUD1,EIF4A3
HERPUD1,CALR
DYNC1LI2,PFN1
DYNC1LI2,BSG
TPM4,DYNC1LI2
UBB,HSBP1
HSBP1,WSB1
MAP1LC3B,JUNB
MAP1LC3B,DNAJB1
PRKAR1A,ANKRD11
TPM4,ANKRD11
EIF5A,PFN1
PFN1,PSMB3
PFN1,VMP1
C1QBP,WSB1
EIF5A,ACTG1
DNAJB1,UBB
VMP1,NDUFV2
TPM4,VMP1
GADD45B,H3-3B
H3-3B,MYDGF
JUNB,H3-3B
ACTG1,NDUFV2
ACTG1,TPM4
P4HB,CALR
IER2,NDUFV2
TPM4,NDUFV2
JUNB,GADD45B
GADD45B,DNAJB1
JUNB,IER2
JUND,ZFP36
JUND,SERTAD1
JUND,FOSB
MYADM,JUND
JUND,MAFF
SPINT2,ZFP36
SPINT2,ZNF428
SPINT2,AP2S1
MIF,SPINT2
SPINT2,TMSB4X
SPINT2,SAT1
SPINT2,LAMP2
COX3,SPINT2
ND3,SPINT2
FOSB,ZFP36
ZFP36,RPL18
ZFP36,CSTB
SERTAD1,RPS19
SERTAD1,UBE2S
SERTAD1,ETS2
RPL18,RPS19
RPS19,TOP1
APP,RPS19
RANBP1,RPS19
RPL3,RPS19
SELENOW,ZNF428
MIF,ZNF428
FOSB,PPP1R15A
FOSB,UBE2S
AP2S1,CST3
SCAND1,SELENOW
SELENOW,SOD1
RPL18,PPP1R15A
APP,RPL18
RPL3,RPL18
RPL18,LAMP2
PPP1R15A,MAFF
COX1,PPP1R15A
CST3,FTL
EIF6,FTL
APP,FTL
TMSB4X,FTL
MORF4L2,FTL
COX3,FTL
MYADM,MIF
YWHAH,MYADM
MYH9,MYADM
MYADM,CSNK1E
MYADM,PGRMC1
APP,UBE2S
CSTB,UBE2S
RANBP1,UBE2S
CST3,GNAS
CST3,PGRMC1
LAMP2,CST3
SSR4,CST3
CSTB,EIF2S2
MAFF,EIF2S2
EIF6,TOP1
MAFF,EIF6
CSTB,SCAND1
SSR4,SCAND1
APP,NORAD
TMSB4X,NORAD
SAT1,TOP1
APP,SOD1
MYH9,APP
APP,PGK1
APP,PGRMC1
MIF,ETS2
MYH9,ETS2
ETS2,PIM3
ETS2,PGRMC1
XBP1,CSTB
CSTB,SAT1
CSTB,LAMP2
RANBP1,MIF
YWHAH,RANBP1
MIF,SAT1
MIF,DDX3X
MIF,COX1
XBP1,SAT1
SSR4,XBP1
YWHAH,MYH9
MYH9,LAMP2
MYH9,ND2
SSR4,CSNK1E
TMSB4X,RPL3
RPL3,DDX3X
ND2,RPL3
TMSB4X,PGK1
ATRX,DDX3X
ND2,ND1
COX3,ND1
ND3,ND2
COX1,COX2
COX3,COX1
COX3,COX2
COX2,ND3
