,Estimation
GPD1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_BBOX1,1
BBOX1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TPRG1,1
TPRG1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TMPRSS6,1
TMPRSS6_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C16orf89,1
C16orf89_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ART3,1
ART3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GPR98,1
GPR98_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_HOTAIR,1
HOTAIR_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TUBA3D,1
TUBA3D_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SYT8,1
SYT8_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CYP4X1,1
CYP4X1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FSIP1,1
FSIP1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MS4A1,0
MS4A1_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_PROL1,1
PROL1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NAT1,1
NAT1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_SLPI,1
SLPI_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_LRG1,1
LRG1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CYP2A7,1
CYP2A7_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GSTA1,1
GSTA1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FAM196A,1
FAM196A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CIDEA,1
CIDEA_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_NDP,1
NDP_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TRIM29,1
TRIM29_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DLK1,1
DLK1_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_ROPN1B,1
ROPN1B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_FLJ45983,1
FLJ45983_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ZIC2,0
ZIC2_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_SOSTDC1,1
SOSTDC1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PAX7,1
PAX7_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_HEPACAM2,1
HEPACAM2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ALOX15B,1
ALOX15B_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PPP4R4,1
PPP4R4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_IGDCC3,1
IGDCC3_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PCSK1N,1
PCSK1N_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_CST4,1
CST4_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MARCO,1
MARCO_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PNMT,1
PNMT_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ATRNL1,1
ATRNL1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_TF,1
TF_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_PSCA,1
PSCA_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_MMP12,1
MMP12_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_RGS22,1
RGS22_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_DSG1,1
DSG1_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_ANXA8L2,1
ANXA8L2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_C2CD4A,1
C2CD4A_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_GPR26,0
GPR26_causes_PAM50Call_RNAseq,0
PAM50Call_RNAseq_causes_SLC13A2,1
SLC13A2_causes_PAM50Call_RNAseq,1
PAM50Call_RNAseq_causes_AKR7A3,1
AKR7A3_causes_PAM50Call_RNAseq,1
