,fisherz,fisherz_binary,hsic_test_gamma,hsic_test_gamma_stat,hsic_test_gamma_binary,kci,kci_binary,mv_fisherz,mv_fisherz_binary,local_score_cv_general_10_0.01,local_score_cv_general_10_0.05,local_score_cv_general_10_0.1,local_score_cv_general_binary,if_cause_is_dicrete,if_effect_is_dicrete,mutual_info,cond_mut_info,additive_noise_model,RESET_is_nonlinear,RESET_linear_lm_pval,RESET_linear_reset_fitted_pvalue,RESET_linear_reset_exog_pvalue,RESET_linear_reset_pricomp_pvalue,RESET_linear_reset_chisq_fitted_pvalue,RESET_linear_reset_chisq_exog_pvalue,RESET_linear_reset_chisq_precomp_pvalue,local_score_BIC_0.1,local_score_BIC_0.5,local_score_BIC_1,local_score_BIC_1.5,local_score_BIC_binary,degenerate_score,degenerate_score_binary,Label
C1_Mixed_X29_causes_C1_Mixed_X19,0.0,1,0.0,9.770635265161683,1,0.0,1,0.0,1,21169.363346257232,21169.70317340411,21170.31394923092,1,3,3,0.105366088336817,0.015065588938215,0.6371967790313792,0,0.9086131544858872,0.9930513811581768,0.9930513811580444,0.9930513811580444,0.9930544958888752,0.9930544958887464,0.9930544958887496,-6279.2576704639305,-6279.2576704639305,-6279.2576704639305,-6279.2576704639305,0,2080.947833946635,1,0
C1_Mixed_X30_causes_C1_Mixed_X7,0.6891519699777835,0,0.0319217089648143,0.6250347649082915,1,0.0,1,0.6891519699777835,0,21155.746223460068,21155.37608507752,21155.262039687033,0,3,3,0.0,0.0011621923570688,0.8356555457443584,0,0.3241470955094851,0.3994939835980389,0.3994939814092372,0.3994939814091325,0.3991924663277139,0.3991924641367039,0.399192464136608,-5878.158581668781,-5878.158581668781,-5878.158581668781,-5878.158581668781,0,1679.8487451514854,1,0
M2_Mixed_X1_causes_M2_Mixed_X47,0.0198449151145925,1,0.5016625984449798,0.225398617723961,0,0.3948625984946827,0,0.0198449151145925,1,20957.67402022615,20957.56616454644,20957.51823667649,0,2,3,0.0,1.4008568847031837,0.9095002936481154,0,0.903622833964596,0.5282851169467262,0.5282857386287032,0.5282857386286712,0.5281078832294077,0.5281085054716756,0.5281085054716579,1133.0185616148715,1133.0185616148715,1133.0185616148715,1133.0185616148715,1,-5040.9522600105165,0,0
C1_Mixed_X11_causes_C1_Mixed_X14,1.6617954112785327e-05,1,2.9650495836364144e-08,1.7061484597135388,1,1.1102230246251563e-16,1,1.6617954112785327e-05,1,21157.858319289455,21157.552027759044,21157.467816855376,0,3,3,0.0,0.0012516717968104,0.9324563258606272,0,0.6758399609167316,0.2718435137589871,0.2718435137546677,0.2718435137546842,0.2714190426956766,0.2714190426913305,0.271419042691358,-5857.41769987843,-5857.41769987843,-5857.41769987843,-5857.41769987843,1,1659.1078633611346,0,1
M3_Mixed_X26_causes_M3_Mixed_X12,0.1196739566165043,0,0.0025598767391372,0.7387310192572072,1,0.0007412968129031,1,0.1196739566165043,0,21165.48685417062,21165.431005617116,21165.407252158424,1,3,2,0.0,1.6610228904101598,0.0005888419599938,0,0.5257219781210389,0.107897691100676,0.1078976909721378,0.1078976909721416,0.1074121074410832,0.1074121073126106,0.1074121073126201,-5758.232685416036,-5758.232685416036,-5758.232685416036,-5758.232685416036,0,1546.1008328550645,1,0
N1_Nonlinear_X59_causes_N1_Nonlinear_X65,0.0359402532086301,1,0.026612397827055,0.7157278286820744,1,0.0,1,0.0359402532086301,1,21062.41714310387,21062.31671224176,21062.273843975338,1,3,3,0.0014584486868116,0.0063548730666715,0.1151350249407328,0,0.4964511661931184,0.3881886805578051,0.3881886608048437,0.3881886608050288,0.3878758244580102,0.387875804685206,0.3878758046854091,-3734.61198971838,-3734.61198971838,-3734.61198971838,-3734.61198971838,0,-463.6978467989155,1,0
M3_Mixed_X39_causes_M3_Mixed_X19,0.7200992467052081,0,0.0256604989050197,0.6524005744761574,1,0.0,1,0.7200992467052081,0,21150.656872727188,21150.41327390684,21150.32366682175,0,3,3,0.00589224167412,1.703822843289866,0.0950810112561852,0,0.420689821392552,0.7327676759702151,0.7327676100531506,0.7327676100525575,0.7327385577483558,0.7327384917975663,0.7327384917969637,-6056.011658792419,-6056.011658792419,-6056.011658792419,-6056.011658792419,0,1857.7018222751224,1,0
M2_Mixed_X25_causes_M2_Mixed_X27,0.0178438810449863,1,0.051874996194597,0.6010025818715722,0,0.2956147714879702,0,0.0178438810449863,1,20969.478218613094,20969.40674867933,20969.369673773963,0,2,2,0.0025665815507539,1.3878726293351829,0.0946821116165943,0,0.922714871165161,0.0,0.2465762844403895,3.878102117325195e-79,0.0,0.2461315233119777,2.104281475624018e-89,-566.9836270541101,-566.9836270541101,-566.9836270541101,-566.9836270541101,0,-3657.638894402394,1,0
C1_Mixed_X34_causes_C1_Mixed_X27,0.0,1,0.0,19.708197714018265,1,0.0,1,0.0,1,21140.553768657566,21142.006167969983,21143.666475795773,0,3,3,0.1675706498410196,0.0263261086380964,0.5830503540727402,0,0.1380617995173099,0.078364537490768,0.0783645374911436,0.0783645374912438,0.0779075993770835,0.0779075993774617,0.0779075993775504,-6184.614510530772,-6184.614510530772,-6184.614510530772,-6184.614510530772,1,1986.3046740134769,0,0
M1_Mixed_X36_causes_M1_Mixed_X45,0.7958998196924301,0,1.2585486257599143e-06,2.032969834541357,1,0.0001101583008853,1,0.7958998196924301,0,21011.60281393024,21011.87052546619,21011.960035278524,0,2,2,0.1158737481174313,1.5859082918517229,0.0,0,0.5615958760280493,2.34811907370666e-13,2.348122600442998e-13,2.348122600374809e-13,1.252723664456852e-13,1.2527256254006865e-13,1.2527256253627578e-13,1888.5476855576292,1888.5476855576292,1888.5476855576292,1888.5476855576292,0,-4853.196320175583,1,1
M2_Mixed_X46_causes_M2_Mixed_X10,0.7371305623436608,0,0.0,3.924352665234609,1,0.0,1,0.7371305623436608,0,21150.626842412497,21150.674954805538,21150.918815256176,0,3,3,0.0416394754632412,1.5124253011985966,0.3082507190524103,0,0.0936831245475552,0.2465785292536202,0.246578529326779,0.2465785293273414,0.2461331750181892,0.2461331750914309,0.2461331750919565,-5804.197890180004,-5804.197890180004,-5804.197890180004,-5804.197890180004,0,1605.8880536627082,1,0
C1_Mixed_X27_causes_C1_Mixed_X48,0.9344372343047004,0,0.0084751082354718,0.7348669123059056,1,0.0,1,0.9344372343047004,0,21164.317139125946,21164.12950785467,21164.10238259586,1,3,3,0.0,-0.0013249095171335,0.2673753561972249,0,0.1988059886283505,0.0013287515415938,0.0013287515613787,0.0013287515613804,0.0012813286054184,0.0012813286246968,0.0012813286246984,-5730.096167770362,-5730.096167770362,-5730.096167770362,-5730.096167770362,0,1531.7863312530662,1,0
C1_Mixed_X22_causes_C1_Mixed_X36,0.0001226825506082,1,4.4795944731390585e-11,2.125476835054692,1,0.0,1,0.0001226825506082,1,21194.415725090003,21194.343748302657,21194.40896446778,1,3,3,0.0477503637082401,0.0025321618574606,0.4040688326466748,0,0.502828366549409,0.5615938142200807,0.5615938142307397,0.5615938142306698,0.5614458208127009,0.5614458208233863,0.5614458208233066,-6001.912415913695,-6001.912415913695,-6001.912415913695,-6001.912415913695,0,1803.6025793964004,1,1
M3_Mixed_X32_causes_M3_Mixed_X31,0.0506464487151012,0,0.7069789387373235,0.1517811876953349,0,0.6112878297905968,0,0.0506464487151012,0,21154.825157892796,21154.665476897113,21154.599433649026,1,3,2,0.0,1.6389015664498623,0.4686888563014464,0,0.4136937162565158,0.1054934440727961,0.1054934496300382,0.1054934496300072,0.1050093343113165,0.1050093398650097,0.1050093398649758,-5507.892961858539,-5507.892961858539,-5507.892961858539,-5507.892961858539,0,1288.0209797642156,1,0
N1_Nonlinear_X65_causes_N1_Nonlinear_X63,0.0979349546564052,0,0.0646104117345214,0.64245826003371,0,0.0,1,0.0979349546564052,0,21053.212978832464,21053.134355207505,21053.09388762255,0,3,3,0.0,-0.0043763991523967,0.1192643272827256,0,0.0324107813811767,0.1158181997648258,0.1158179508248415,0.1158179508251494,0.1153286314630877,0.1153283826284285,0.1153283826287472,-3592.9732155176885,-3592.9732155176885,-3592.9732155176885,-3592.9732155176885,1,-605.3366209996069,0,0
M1_Mixed_X29_causes_M1_Mixed_X47,3.8501551553604685e-06,1,0.0,3.799665081723676,1,5.73586977725693e-06,1,3.8501551553604685e-06,1,21148.402150665315,21148.402913095662,21148.498134088477,1,3,2,0.0813323348969725,1.6408251598377144,1.5543122344752196e-15,0,0.8787399261000464,0.7755563943879756,0.7755563943852891,0.7755563943852891,0.7755468851749773,0.7755468851722972,0.7755468851722979,-5280.661383040565,-5280.661383040565,-5280.661383040565,-5280.661383040565,0,1169.3222865371072,1,1
282_causes_296,0.1625539267626248,0,0.0,28.09677386484255,1,0.0,1,0.1625539267626248,0,63190.437040913035,63196.90298693448,63201.38334430165,1,3,3,0.5661791744697711,0.0657362962777245,0.0,1,1.0339741702267031e-19,8.349816226089138e-19,8.349816226643153e-19,8.349816227497133e-19,4.0506941703890694e-19,4.050694170666291e-19,4.050694171094794e-19,-8616.400055603535,-8616.400055603535,-8616.400055603535,-8616.400055603535,0,1278.147377792339,1,1
M3_Mixed_X48_causes_M3_Mixed_X20,0.0519535153446375,0,0.0733806433704939,0.5154429087680336,0,0.1587171555963886,0,0.0519535153446375,0,21162.22385371092,21162.10755947036,21162.058217493737,1,3,2,0.0042631004918263,1.5956207152231934,0.1424921261547045,0,0.8859135817184818,0.8169455453611938,0.8169455454775668,0.8169455454775668,0.8169504321532257,0.8169504322695961,0.8169504322696332,-5822.791029564843,-5822.791029564843,-5822.791029564843,-5822.791029564843,0,1619.2044207692786,1,0
N1_Nonlinear_X98_causes_N1_Nonlinear_X71,0.9001356624238628,0,0.0071526208513111,0.9004154245074767,1,0.0,1,0.9001356624238628,0,21058.225242261236,21058.089367878587,21058.044697259647,1,3,3,0.0,0.0055787108025213,0.5700628892711792,1,0.0247765882466959,0.036442594411316,0.0364425945825964,0.0364425945829415,0.0360911659830008,0.0360911661535847,0.0360911661539268,-3701.593510084011,-3701.593510084011,-3701.593510084011,-3701.593510084011,1,-496.716326433284,0,0
M2_Mixed_X25_causes_M2_Mixed_X26,0.2613705733579898,0,0.069823570806492,0.5430524949605587,0,0.8049380698705241,0,0.2613705733579898,0,20969.401000520775,20969.297651239987,20969.286758321297,0,2,3,0.0074327269844984,1.5124253011985966,0.3972369657160153,0,0.4766200782045338,0.0,0.5157090326875812,2.871432900845038e-253,0.0,0.5155206134079493,0.0,-564.6206236843964,-564.6206236843964,-564.6206236843964,-564.6206236843964,1,-3604.549406411454,0,0
M3_Mixed_X46_causes_M3_Mixed_X12,0.078824092362213,0,0.0569862070984633,0.349794867465012,0,2.513983345431292e-05,1,0.078824092362213,0,20838.148106969285,20838.19885270608,20838.215364600128,0,1,2,0.0028050919172414,1.644672346613418,0.0003244041517349,0,1.0,0.8765095665027607,0.0,0.0,0.8764993937348381,0.0,0.0,-2008.170711409445,-2008.170711409445,-2008.170711409445,-2008.170711409445,0,-2199.1065968055855,1,0
M1_Mixed_X38_causes_M1_Mixed_X28,0.0378494024006788,1,0.2250349755244792,0.3177517304232355,0,9.827817241125911e-07,1,0.0378494024006788,1,21166.013803431757,21165.943783179355,21165.92451639983,1,3,2,0.0,1.7071891317186068,0.1568700507248684,0,0.5588097103438185,0.9038632696525972,0.903863269221738,0.9038632692218131,0.9038818309459212,0.9038818305150874,0.903881830515166,-5537.281821290936,-5537.281821290936,-5537.281821290936,-5537.281821290936,0,1323.398267544263,1,0
M1_Mixed_X12_causes_M1_Mixed_X32,0.5295712307943694,0,7.170519289445565e-09,1.8275460817620144,1,0.0124299790504058,1,0.5295712307943694,0,21166.73715284293,21166.66148444957,21166.71481268203,1,3,3,0.0041782977822855,1.7615306449254244,0.3881726506150045,1,0.0307696135182618,0.0442492795413909,0.0442492796484432,0.0442492796483304,0.0438689835768284,0.0438689836835217,0.0438689836834098,-5732.9411828641705,-5732.9411828641705,-5732.9411828641705,-5732.9411828641705,0,1534.631346346875,1,0
M1_Mixed_X44_causes_M1_Mixed_X30,0.2976855369323252,0,0.0049888644052931,0.6752281273271,1,0.002953050021234,1,0.2976855369323252,0,20945.65738985537,20945.74682933783,20945.78488375429,0,2,2,0.1325772741473003,1.5743981864834065,0.0,1,0.0016971843163411,1.2885598777096014e-12,1.2915833436008429e-12,1.2915833436008429e-12,7.371588574768509e-13,7.389574493723598e-13,7.389574493723487e-13,775.8048150659761,775.8048150659761,775.8048150659761,775.8048150659761,1,-4539.506034819636,1,0
M2_Mixed_X30_causes_M2_Mixed_X36,0.870680045436647,0,0.0031824617050454,0.7896013074351145,1,0.0074834139733808,1,0.870680045436647,0,21151.01799467127,21150.81898534138,21150.755114387463,0,3,3,0.0254328142249846,1.5124253011985966,0.6410359646454646,0,0.4025549947353525,0.5612386719188431,0.5612386763624293,0.5612386763622584,0.5610903753897105,0.5610903798371041,0.561090379836908,-5672.190300170264,-5672.190300170264,-5672.190300170264,-5672.190300170264,0,1473.8804636529694,1,0
M1_Mixed_X24_causes_M1_Mixed_X29,0.0,1,0.0,9.562507600006366,1,0.0,1,0.0,1,21143.171732901115,21143.49161591249,21144.101274765828,1,3,3,0.0788171600143279,1.7615306449254244,0.1941680428654446,0,0.56380478851023,0.9511905570704684,0.9511905570725004,0.9511905570725004,0.9512054791287436,0.951205479130778,0.9512054791307633,-5842.162070246333,-5842.162070246333,-5842.162070246333,-5842.162070246333,0,1643.852233729037,1,1
C1_Mixed_X7_causes_C1_Mixed_X19,1.953377546382029e-06,1,0.0,5.216644126887376,1,0.0,1,1.953377546382029e-06,1,21166.781026233617,21166.7436882691,21166.979979726944,1,3,3,0.0857745037476966,0.009420974137291,0.3190372016900349,0,0.5394704583114547,0.2346679126641283,0.234667912676667,0.234667912676623,0.234213501452916,0.234213501465478,0.2342135014654267,-5864.411629316318,-5864.411629316318,-5864.411629316318,-5864.411629316318,0,1666.1017927990222,1,1
M2_Mixed_X27_causes_M2_Mixed_X26,0.6363168473935401,0,1.5551959200443832e-06,1.665895277612491,1,0.0068110758312037,1,0.6363168473935401,0,21004.256597122352,21004.26454281416,21004.343390339673,0,2,3,0.0370197947755288,1.384025442559479,0.2957594863421566,1,0.0002137220960545,3.97069836854354e-39,3.9690097584975136e-39,3.969009757650509e-39,1.3536981814196849e-41,1.3530481894649562e-41,1.3530481891389168e-41,1695.3109595873134,1695.3109595873134,1695.3109595873134,1695.3109595873134,0,-5068.617224171685,1,0
M3_Mixed_X26_causes_M3_Mixed_X27,0.0390550015302695,1,0.8899556847617969,0.043395420581798,0,0.0,1,0.0390550015302695,1,21165.61943853704,21165.557428459073,21165.51809608457,1,3,1,0.0137019338739687,1.703822843289866,0.8309985020400515,0,0.9286287075101204,0.8642082192490702,0.8642082192458423,0.8642082192458818,0.8642235231375929,0.8642235231343485,0.8642235231343912,-5756.0077222503505,-5756.0077222503505,-5756.0077222503505,-5756.0077222503505,0,1557.6978857330548,1,0
M1_Mixed_X6_causes_M1_Mixed_X27,0.0428415294807613,1,0.6092717308843785,0.2518337391051645,0,8.710452377391764e-05,1,0.0428415294807613,1,21173.440986512433,21173.238773850484,21173.15330314499,1,3,3,0.0,1.7615306449254244,0.8036166037586585,0,0.6468019218561657,0.5578774703014355,0.5578774213966606,0.5578774213966606,0.5577262953026529,0.5577262463558688,0.5577262463558794,-5843.645433387574,-5843.645433387574,-5843.645433387574,-5843.645433387574,0,1645.335596870278,1,0
C1_Mixed_X30_causes_C1_Mixed_X4,0.3073818395622854,0,0.0026411112893514,0.8558509682670933,1,0.0,1,0.3073818395622854,0,21155.61299714692,21155.327880190503,21155.24412111071,0,3,3,0.0,0.0026045190775453,0.0724362760625988,0,0.8905620416797535,0.8599709269456373,0.8599709278715753,0.8599709278715753,0.8599855759025701,0.8599855768286654,0.85998557682864,-5869.701748572783,-5869.701748572783,-5869.701748572783,-5869.701748572783,0,1671.3919120554865,1,0
N1_Nonlinear_X64_causes_N1_Nonlinear_X68,0.0463652847020552,1,0.0357649360825775,0.6847505557790864,1,1.2413143185563411e-06,1,0.0463652847020552,1,21057.892698166215,21057.743270529285,21057.67624674582,1,3,3,0.0,0.0032158161953908,0.6320654793085281,0,0.6141139380164706,0.7445042213688141,0.7445042221385528,0.7445042221387117,0.7444809373536903,0.7444809381238398,0.744480938124015,-3677.3499403171218,-3677.3499403171218,-3677.3499403171218,-3677.3499403171218,1,-520.959896200173,0,0
N1_Nonlinear_X53_causes_N1_Nonlinear_X74,0.4600041778903363,0,0.0586027027482559,0.5695381066995586,0,0.9630815436236306,0,0.4600041778903363,0,21056.48963971247,21056.216551045934,21056.13161635146,0,3,3,0.0,-0.0008472970875055,0.0949139514714002,1,0.0051572813108705,0.0109747014987525,0.0195121527364575,0.0195121527368653,0.0108260578106242,0.0192508575658332,0.0192508575662387,-3646.404562335243,-3646.404562335243,-3646.404562335243,-3646.404562335243,0,-551.9052741820524,1,0
M2_Mixed_X27_causes_M2_Mixed_X46,1.6262546864709293e-12,1,0.0,4.1469861223980935,1,0.0,1,1.6262546864709293e-12,1,20999.963580868833,21000.236412642396,21000.701682767925,0,2,3,0.1401625088900386,1.3691175938036262,0.7868861218771077,1,0.0138745891341518,3.2332034424130972e-83,3.2332035722660506e-83,3.2332035714542666e-83,6.266253534544932e-95,6.266253860188301e-95,6.266253858152955e-95,1651.6507160038077,1651.6507160038077,1651.6507160038077,1651.6507160038077,0,-4830.363343392836,1,1
C1_Mixed_X30_causes_C1_Mixed_X48,0.1846537102108723,0,0.0,4.165279188087641,1,0.0,1,0.1846537102108723,0,21152.669885673677,21152.728473494408,21152.89865178974,0,3,3,0.0273838923647495,0.001124039166538,0.7492392358485058,0,0.7679228541184506,0.4278546530938104,0.4278546530932015,0.4278546530932292,0.4275814815714397,0.4275814815708616,0.4275814815708775,-5995.710523453512,-5995.710523453512,-5995.710523453512,-5995.710523453512,0,1797.4006869362152,1,0
M3_Mixed_X5_causes_M3_Mixed_X13,9.843681425536488e-12,1,0.9246425936710724,0.1575475310516928,0,1.032489094221489e-09,1,9.843681425536488e-12,1,21161.31576465884,21161.15993732488,21161.083539230924,1,3,3,0.0097637659762108,1.703822843289866,0.9233076456787028,0,0.3895622210371582,0.749492585997549,0.7494946622495992,0.7494946622499177,0.7494716791631149,0.7494737563917351,0.7494737563920318,-5490.071594530736,-5490.071594530736,-5490.071594530736,-5490.071594530736,1,1291.7617580134408,0,0
M2_Mixed_X50_causes_M2_Mixed_X40,0.6121958661023075,0,0.0089817936477282,0.6186708001557785,1,0.9570885384373806,0,0.6121958661023075,0,20904.1588968176,20904.074836557586,20904.056936152,0,2,3,0.0,1.460488279726594,0.0251496318466198,0,0.3264520595346878,0.4723708676633964,0.665798686375813,0.4723705047813001,0.4721932333126064,0.6657301966724556,0.472192870203039,415.8190140366634,415.8190140366634,415.8190140366634,415.8190140366634,1,-4514.213511404308,0,0
C1_Mixed_X46_causes_C1_Mixed_X7,0.0805461887106551,0,2.0445692366366508e-05,1.202370765305539,1,0.0,1,0.0805461887106551,0,21172.196412855163,21172.087495571213,21172.11477247829,1,3,3,0.0319599629176075,0.0041406740885511,0.5074156775193605,0,0.0348397438617238,0.1832029264068399,0.1832029262692579,0.183202926269306,0.1827177477835519,0.182717747645912,0.1827177476459719,-6107.573119531695,-6107.573119531695,-6107.573119531695,-6107.573119531695,0,1909.2632830143984,1,0
M2_Mixed_X26_causes_M2_Mixed_X6,0.2708208391329103,0,0.0546658988436952,0.5484644069502308,0,0.963146165196982,0,0.2708208391329103,0,21157.611711457404,21157.35741398666,21157.272456713872,1,3,3,0.0234117221728373,1.5124253011985966,0.026107557371746,0,0.1994340645514607,0.0080446885833977,0.0080447071417448,0.0080447071417344,0.0078865417465495,0.0078865600827896,0.0078865600827798,-5379.549160546192,-5379.549160546192,-5379.549160546192,-5379.549160546192,1,1181.2393240288982,0,0
N1_Nonlinear_X66_causes_N1_Nonlinear_X98,0.2163718694433103,0,0.045799782095693,0.6332295332327434,1,0.0,1,0.2163718694433103,0,21058.717492645646,21058.584106862567,21058.534511448208,1,3,3,0.0140327685796606,-0.0024233317320998,0.1402007966575242,0,0.6165519323285965,0.882013562797649,0.8820135590410061,0.8820135590413158,0.8820309846707527,0.8820309809138152,0.8820309809140956,-3669.413459613855,-3669.413459613855,-3669.413459613855,-3669.413459613855,1,-528.8963769034417,0,0
C1_Mixed_X36_causes_C1_Mixed_X17,0.0,1,0.0072385011531359,0.735975969798158,1,0.0,1,0.0,1,21148.573482209693,21148.27958990444,21148.218331597334,0,3,3,0.0151761585057164,0.0019563764743744,0.4850279516884048,0,0.9346108209786352,0.1890964382789668,0.1890964395182595,0.18909643951818,0.1886139220072793,0.1886139232471505,0.1886139232470741,-5404.224029752148,-5404.224029752148,-5404.224029752148,-5404.224029752148,1,1205.9141932348532,0,0
135_causes_124,0.4798727473165756,0,0.0,5.288657489097806,1,0.0,1,0.4798727473165756,0,63212.677604436714,63217.91167682993,63220.79936810946,1,3,3,0.3727836731576119,0.0655519027397782,0.0,1,4.027872677775616e-17,9.944653420511535e-17,9.944653422500007e-17,9.944653420743867e-17,5.626327741073609e-17,5.62632774223294e-17,5.626327741208896e-17,-9330.88087565783,-9330.88087565783,-9330.88087565783,-9330.88087565783,0,1992.62819784663,1,1
M2_Mixed_X17_causes_M2_Mixed_X45,6.166038799104712e-06,1,6.994405055138486e-13,3.4848775590275713,1,0.0,1,6.166038799104712e-06,1,20976.70739630589,20976.821599462353,20976.89947242917,0,2,2,0.1152336532513595,1.2494965743355724,0.0,1,9.591101922206725e-06,8.42790156247082e-05,8.427890095194012e-05,8.427890095596221e-05,7.853108902493701e-05,7.853098063398303e-05,7.85309806377835e-05,2500.273977533634,2500.273977533634,2500.273977533634,2500.273977533634,1,-5062.9364703259835,1,1
